conflicts_per_tx,mean_ro_entries_per_conflict,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
8,10,4,0.327665,0.60394,0.827568,0.954991,
8,10,5,0.28935,0.525123,0.720729,0.902498,
8,20,1,0.813308,0.976617,0.99183,0.983621,
8,20,2,0.545952,0.923081,0.982713,0.984252,
8,20,3,0.473187,0.785536,0.941672,0.978749,
8,20,4,0.370394,0.664208,0.826032,0.949058,
8,20,5,0.299498,0.566507,0.760189,0.901839,
8,30,1,0.817706,0.980472,0.990716,0.986378,
8,30,2,0.580141,0.909467,0.976605,0.983479,
8,30,3,0.529081,0.813682,0.951512,0.979605,
8,30,4,0.387705,0.688659,0.866526,0.937244,
8,30,5,0.313644,0.567821,0.798218,0.901653,
8,40,1,0.895539,0.940309,0.991153,0.983832,
8,40,2,0.726081,0.894062,0.975724,0.984541,
8,40,3,0.476473,0.84105,0.91815,0.98001,
8,40,4,0.400108,0.736515,0.898579,0.955218,
8,40,5,0.355865,0.616272,0.784808,0.889325,
8,50,1,0.854422,0.942615,0.991127,0.986232,
8,50,2,0.698286,0.914336,0.964743,0.985378,
8,50,3,0.5015,0.817081,0.921352,0.979558,
8,50,4,0.465856,0.780767,0.88945,0.953241,
8,50,5,0.335173,0.620547,0.791574,0.901803,
9,10,1,0.62953,0.971961,0.987186,0.982516,
9,10,2,0.450938,0.824054,0.977405,0.981629,
9,10,3,0.367086,0.64617,0.873793,0.967709,
9,10,4,0.301753,0.571998,0.763337,0.922647,
9,10,5,0.264602,0.45687,0.655464,0.834514,
9,20,1,0.721507,0.967687,0.990103,0.982654,
9,20,2,0.480417,0.866269,0.980726,0.981613,
9,20,3,0.417998,0.741802,0.921384,0.978536,
9,20,4,0.331792,0.603516,0.788948,0.928197,
9,20,5,0.271755,0.516227,0.720277,0.855357,
9,30,1,0.73264,0.972615,0.98963,0.983909,
9,30,2,0.528294,0.864024,0.956286,0.98201,
9,30,3,0.44758,0.78062,0.892029,0.966244,
9,30,4,0.34401,0.63071,0.816676,0.932781,
9,30,5,0.271271,0.525533,0.707589,0.856243,
9,40,1,0.858117,0.926,0.991414,0.984622,
9,40,2,0.668731,0.878965,0.971595,0.985981,
9,40,3,0.436615,0.79619,0.891403,0.959277,
9,40,4,0.356568,0.681615,0.857073,0.932002,
9,40,5,0.304249,0.582886,0.736387,0.872377,
9,50,1,0.784846,0.93787,0.988824,0.984743,
9,50,2,0.665341,0.89523,0.952538,0.985131,
9,50,3,0.478526,0.797802,0.901992,0.971259,
9,50,4,0.368391,0.66932,0.840558,0.923694,
9,50,5,0.316345,0.576744,0.758721,0.870305,
10,10,1,0.597359,0.94492,0.987048,0.98298,
10,10,2,0.399983,0.75498,0.965169,0.977229,
10,10,3,0.341502,0.610517,0.822589,0.951561,
10,10,4,0.275104,0.506409,0.699629,0.866893,
10,10,5,0.243556,0.422192,0.613871,0.782933,
