conflicts_per_tx,mean_ro_entries_per_conflict,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
10,20,5,0.124376,0.138566,0.189993,0.265218,
10,30,1,0.128525,0.222072,0.38798,0.540699,
10,30,2,0.125171,0.162734,0.303819,0.428831,
10,30,3,0.126089,0.15044,0.252028,0.369141,
10,30,4,0.124769,0.139939,0.193241,0.279569,
10,30,5,0.124937,0.131705,0.168974,0.25573,
10,40,1,0.125618,0.157326,0.301064,0.47335,
10,40,2,0.124537,0.154075,0.280014,0.411639,
10,40,3,0.124137,0.139366,0.221742,0.343991,
10,40,4,0.124907,0.135415,0.197296,0.286479,
10,40,5,0.124006,0.129144,0.164086,0.248728,
10,50,1,0.124621,0.14402,0.281562,0.463146,
10,50,2,0.124515,0.146731,0.229429,0.347764,
10,50,3,0.124256,0.135392,0.172634,0.280175,
10,50,4,0.124487,0.126776,0.168253,0.247029,
10,50,5,0.124838,0.127834,0.161539,0.231801,
