conflicts_per_tx,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
9,10,0.13973,0.27852,0.388395,0.51596,
9,11,0.136759,0.268243,0.372776,0.48877,
9,12,0.134231,0.243909,0.339047,0.442582,
9,13,0.131352,0.232885,0.326185,0.426115,
9,14,0.127599,0.204865,0.308754,0.397131,
9,15,0.128381,0.202982,0.291792,0.372167,
9,16,0.12758,0.190623,0.29491,0.370257,
9,17,0.127219,0.177446,0.26873,0.341208,
9,18,0.125556,0.164899,0.266744,0.322983,
9,19,0.12675,0.159966,0.252328,0.319227,
9,20,0.126661,0.152442,0.238862,0.306815,
9,21,0.126189,0.152145,0.237088,0.302906,
9,22,0.127596,0.145492,0.228698,0.296814,
9,23,0.126111,0.144398,0.218249,0.279864,
9,24,0.125113,0.139387,0.213755,0.275751,
9,25,0.125228,0.137938,0.198637,0.261601,
9,26,0.126963,0.13719,0.18686,0.259012,
9,27,0.125095,0.139574,0.196353,0.259592,
9,28,0.124691,0.132815,0.182083,0.239376,
9,29,0.124625,0.131783,0.175069,0.232073,
9,30,0.125485,0.128792,0.161359,0.224184,
10,5,0.178873,0.398218,0.599934,0.797391,
10,6,0.177069,0.353704,0.524903,0.717527,
10,7,0.156026,0.311668,0.468067,0.644171,
10,8,0.145271,0.303851,0.42915,0.548492,
10,9,0.138277,0.282772,0.394622,0.529797,
10,10,0.131782,0.246816,0.355827,0.470024,
10,11,0.130836,0.227961,0.334626,0.43949,
10,12,0.130083,0.217024,0.310397,0.417091,
10,13,0.129032,0.212659,0.292266,0.382575,
10,14,0.127003,0.176144,0.274125,0.362386,
10,15,0.126507,0.179534,0.263021,0.336282,
10,16,0.125311,0.169179,0.261741,0.339297,
10,17,0.127123,0.166443,0.258052,0.320369,
10,18,0.124749,0.145243,0.231505,0.297886,
10,19,0.125578,0.143935,0.220004,0.28968,
10,20,0.125983,0.143234,0.213023,0.290252,
10,21,0.124984,0.14091,0.200184,0.261853,
10,22,0.124361,0.138953,0.194265,0.260953,
10,23,0.125594,0.140536,0.1904,0.256765,
10,24,0.12439,0.13109,0.181941,0.245034,
10,25,0.124986,0.129106,0.174175,0.231851,
10,26,0.125388,0.131181,0.17765,0.236574,
10,27,0.124474,0.130568,0.170485,0.226881,
10,28,0.124632,0.127493,0.154732,0.21705,
10,29,0.124815,0.129627,0.15291,0.215532,
10,30,0.124788,0.126264,0.154639,0.192697,
