conflicts_per_tx,mean_ro_entries_per_conflict,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
8,40,5,0.130251,0.267206,0.468174,0.607962,
8,50,1,0.146703,0.445076,0.73541,0.796716,
8,50,2,0.135194,0.370158,0.643106,0.7878,
8,50,3,0.129473,0.291434,0.527775,0.711847,
8,50,4,0.129601,0.272264,0.540601,0.645956,
8,50,5,0.125418,0.244016,0.481552,0.582321,
9,10,1,0.294692,0.666133,0.886775,0.80639,
9,10,2,0.204556,0.49834,0.709434,0.801883,
9,10,3,0.179351,0.423435,0.631392,0.740333,
9,10,4,0.150888,0.342407,0.513426,0.645043,
9,10,5,0.139199,0.297499,0.432133,0.543474,
9,20,1,0.194456,0.566096,0.858008,0.805393,
9,20,2,0.163113,0.433985,0.64574,0.789186,
9,20,3,0.151143,0.401765,0.601244,0.704683,
9,20,4,0.137117,0.335032,0.481134,0.621187,
9,20,5,0.13188,0.283637,0.422018,0.557755,
9,30,1,0.167184,0.485346,0.768577,0.804095,
9,30,2,0.143798,0.461069,0.717465,0.77898,
9,30,3,0.134599,0.3219,0.530988,0.706602,
9,30,4,0.132239,0.286214,0.487146,0.625798,
9,30,5,0.128318,0.290088,0.423929,0.57201,
9,40,1,0.152989,0.436423,0.710959,0.798412,
9,40,2,0.152476,0.432312,0.671476,0.791303,
9,40,3,0.141825,0.315503,0.549047,0.683018,
9,40,4,0.124033,0.287608,0.468348,0.608993,
9,40,5,0.126402,0.231009,0.411479,0.532714,
9,50,1,0.137811,0.409031,0.679611,0.78428,
9,50,2,0.128051,0.347436,0.591111,0.747654,
9,50,3,0.124986,0.261232,0.478061,0.661246,
9,50,4,0.124066,0.252963,0.463268,0.59114,
9,50,5,0.124654,0.226529,0.417004,0.555937,
10,10,1,0.261856,0.595842,0.876353,0.806607,
10,10,2,0.17363,0.449323,0.661071,0.790337,
10,10,3,0.161411,0.370487,0.577204,0.712614,
10,10,4,0.144254,0.306493,0.461076,0.579203,
10,10,5,0.138636,0.269579,0.406763,0.500248,
10,20,1,0.187537,0.55445,0.818548,0.80796,
10,20,2,0.156977,0.406993,0.609365,0.76994,
10,20,3,0.140558,0.351525,0.542134,0.684991,
10,20,4,0.129289,0.281657,0.438296,0.540051,
10,20,5,0.126776,0.248891,0.375539,0.490659,
10,30,1,0.157529,0.4777,0.731106,0.804134,
10,30,2,0.147985,0.398547,0.68014,0.75672,
10,30,3,0.133702,0.286561,0.478781,0.650115,
10,30,4,0.126158,0.266075,0.43398,0.564128,
10,30,5,0.123546,0.234066,0.386565,0.51943,
10,40,1,0.14168,0.429672,0.661978,0.766484,
10,40,2,0.145815,0.395053,0.615555,0.771731,
10,40,3,0.134914,0.29334,0.504327,0.635233,
10,40,4,0.124834,0.24726,0.443098,0.575181,
10,40,5,0.125919,0.204951,0.37739,0.515347,
10,50,1,0.138727,0.40232,0.661199,0.783352,
10,50,2,0.129649,0.328976,0.523912,0.707406,
10,50,3,0.126248,0.261634,0.465015,0.612539,
10,50,4,0.126473,0.229288,0.414983,0.568033,
10,50,5,0.123847,0.186505,0.375704,0.510949,
